ID,AGE,VEHICLE_YEAR,GENDER,RACE,EDUCATION,INCOME,CREDIT_SCORE,ANNUAL_MILEAGE,SPEEDING_VIOLATIONS,OUTCOME
642614,40-64,after 2015,male,majority,high school,middle class,0.5218044346397632,7000.0,2,0.0
951465,65+,before 2015,female,majority,university,upper class,0.7012683240604196,10000.0,3,0.0
496987,16-25,before 2015,male,majority,none,poverty,0.1712440288213211,9000.0,0,0.0
732437,16-25,before 2015,male,majority,none,poverty,0.3184419972124171,10000.0,0,1.0
146897,26-39,before 2015,female,majority,high school,middle class,0.6046842696715551,11000.0,0,1.0
316173,16-25,after 2015,male,majority,university,working class,0.5049948526440377,8000.0,0,1.0
9013,26-39,before 2015,male,majority,high school,working class,0.6251466352816216,17000.0,3,0.0
511757,40-64,before 2015,female,majority,none,middle class,,11000.0,2,0.0
429947,65+,after 2015,male,majority,university,upper class,,12000.0,6,0.0
485660,40-64,before 2015,male,majority,university,upper class,0.5781305873212035,14000.0,1,0.0
80496,65+,before 2015,male,majority,high school,upper class,0.7054542902137054,10000.0,5,0.0
478336,40-64,after 2015,male,majority,university,upper class,0.6595254905875941,16000.0,4,0.0
10843,40-64,after 2015,male,majority,university,upper class,0.5873836120460223,9000.0,10,0.0
397446,16-25,before 2015,male,majority,none,poverty,0.4064824253974476,16000.0,0,1.0
101678,26-39,before 2015,female,majority,high school,poverty,0.2857471319596469,13000.0,1,1.0
231661,40-64,before 2015,male,majority,high school,middle class,0.5022849652731057,14000.0,3,0.0
173782,65+,after 2015,male,majority,high school,upper class,0.6256257210210231,7000.0,7,0.0
921097,40-64,after 2015,female,majority,university,upper class,,11000.0,3,0.0
98839,26-39,before 2015,female,minority,university,working class,0.3931531299744003,12000.0,1,0.0
105372,26-39,before 2015,female,minority,none,working class,0.5039497598168121,14000.0,1,0.0
888828,40-64,before 2015,male,majority,university,upper class,0.6586274302571438,14000.0,3,0.0
37454,26-39,before 2015,female,majority,high school,working class,0.5241464657501199,17000.0,0,1.0
370044,65+,after 2015,male,majority,university,upper class,0.5531007570628673,7000.0,9,0.0
768282,16-25,before 2015,female,majority,university,working class,0.4475509489142775,8000.0,0,1.0
738729,16-25,before 2015,female,majority,none,working class,0.5107331365064207,7000.0,0,1.0
437535,26-39,after 2015,female,majority,high school,middle class,,15000.0,0,0.0
329536,16-25,before 2015,female,majority,high school,poverty,0.4613735917269193,9000.0,0,1.0
328531,40-64,after 2015,female,majority,university,middle class,0.3875569443647317,12000.0,2,0.0
123941,40-64,after 2015,female,majority,university,middle class,0.5701572256616224,,0,0.0
131881,26-39,before 2015,male,majority,university,working class,0.5501250875743224,16000.0,0,0.0
839572,40-64,before 2015,male,majority,high school,working class,0.4529442316093683,12000.0,3,0.0
171578,26-39,before 2015,male,majority,university,upper class,,8000.0,2,0.0
589757,40-64,before 2015,female,majority,high school,upper class,0.5352743096602144,7000.0,2,0.0
336859,16-25,before 2015,female,majority,university,middle class,0.6147359485632915,15000.0,0,1.0
788111,40-64,before 2015,female,minority,high school,poverty,0.4544471564329259,,1,0.0
407453,40-64,before 2015,female,majority,university,upper class,0.6137409183819416,,0,0.0
367026,40-64,before 2015,female,minority,high school,working class,0.5326613280250595,11000.0,0,0.0
334687,40-64,before 2015,female,minority,university,middle class,0.4277285143019345,15000.0,0,1.0
623367,65+,before 2015,male,majority,university,upper class,0.6859457213719147,5000.0,4,0.0
688440,65+,before 2015,male,majority,university,upper class,0.6936124267187082,10000.0,2,0.0
547974,65+,before 2015,male,majority,high school,upper class,0.5979905963582334,12000.0,2,1.0
989064,26-39,after 2015,male,majority,none,poverty,0.3308186664986927,12000.0,0,1.0
422816,40-64,before 2015,male,majority,high school,working class,,12000.0,5,0.0
307408,26-39,before 2015,female,minority,none,working class,,9000.0,2,0.0
675898,16-25,before 2015,male,majority,high school,middle class,0.5083042183803546,16000.0,0,0.0
480452,26-39,before 2015,female,majority,university,upper class,0.7641329165005233,12000.0,0,0.0
93199,40-64,after 2015,female,majority,university,middle class,0.4775169603837716,14000.0,0,0.0
125802,40-64,before 2015,female,majority,university,upper class,0.6812332078486962,10000.0,0,0.0
616663,40-64,after 2015,male,majority,university,upper class,0.4671555457007022,16000.0,0,0.0
423497,16-25,before 2015,female,majority,high school,working class,0.3941632454999797,16000.0,0,1.0
492837,40-64,after 2015,female,majority,university,upper class,0.6610607322734078,14000.0,0,0.0
422563,40-64,before 2015,male,majority,university,upper class,0.6651879748430346,14000.0,2,0.0
185231,16-25,before 2015,female,majority,high school,middle class,0.560770206632082,11000.0,0,0.0
949152,26-39,after 2015,female,majority,university,upper class,0.7454327103696547,9000.0,0,0.0
859453,26-39,before 2015,male,majority,university,middle class,0.53257435224505,13000.0,1,0.0
466578,26-39,after 2015,female,majority,high school,middle class,0.5267473391434415,14000.0,0,0.0
998214,16-25,before 2015,female,minority,none,poverty,0.4124517461654282,14000.0,0,1.0
828462,40-64,before 2015,male,majority,high school,working class,0.3871071449018297,16000.0,0,0.0
511837,65+,before 2015,male,majority,high school,middle class,0.5499938678343249,9000.0,3,0.0
554995,16-25,before 2015,male,majority,university,upper class,0.5853420947575604,12000.0,0,1.0
680717,65+,before 2015,male,majority,none,middle class,0.5987396054343311,14000.0,6,0.0
978021,40-64,after 2015,male,majority,university,upper class,0.6026557000791793,7000.0,4,0.0
509815,26-39,after 2015,female,majority,high school,working class,0.5114570584803535,,0,0.0
6676,40-64,before 2015,female,majority,high school,upper class,0.5586591735288894,15000.0,3,0.0
362280,40-64,before 2015,male,majority,high school,working class,0.6284070137170304,13000.0,0,1.0
883018,40-64,before 2015,male,majority,high school,working class,0.5057903732571783,13000.0,0,0.0
889355,26-39,before 2015,female,majority,university,upper class,0.7268184180645275,15000.0,2,0.0
198273,65+,after 2015,male,majority,university,upper class,0.6904423335733175,9000.0,8,0.0
197763,40-64,after 2015,male,majority,university,upper class,0.4796771646619314,14000.0,1,0.0
55670,26-39,after 2015,male,majority,university,upper class,,11000.0,3,0.0
545941,40-64,after 2015,female,majority,none,working class,0.4405592041968235,11000.0,1,0.0
814196,16-25,before 2015,female,majority,none,middle class,0.634052597196068,,0,1.0
560160,16-25,before 2015,female,majority,high school,poverty,0.4574695879943666,,0,0.0
320444,26-39,before 2015,male,majority,none,poverty,0.3086490182004943,14000.0,0,0.0
305793,16-25,before 2015,male,majority,high school,poverty,0.2458351852340737,11000.0,0,1.0
362190,16-25,before 2015,male,majority,high school,poverty,0.3056465190413162,14000.0,0,1.0
62647,26-39,before 2015,male,majority,high school,upper class,0.7440140862681482,13000.0,2,0.0
296948,40-64,after 2015,male,majority,university,upper class,0.6704645467899408,14000.0,0,0.0
673660,65+,after 2015,female,majority,high school,upper class,0.6830407984824192,10000.0,4,0.0
945867,16-25,before 2015,male,majority,university,middle class,0.828628569053192,13000.0,0,1.0
391880,65+,before 2015,male,majority,none,middle class,,10000.0,12,0.0
241973,65+,before 2015,female,majority,high school,upper class,0.6293380939717407,11000.0,2,0.0
429503,16-25,before 2015,male,majority,high school,poverty,0.28372421050714,15000.0,0,1.0
810013,16-25,after 2015,male,majority,university,working class,0.4576486815858435,14000.0,0,1.0
663458,16-25,before 2015,female,majority,high school,poverty,0.3049876423937953,15000.0,0,1.0
879976,16-25,before 2015,male,majority,high school,working class,0.5517442884135392,10000.0,0,1.0
418841,16-25,before 2015,male,minority,none,poverty,0.3186855562451054,9000.0,0,1.0
542236,26-39,before 2015,male,minority,none,working class,0.436944194154781,12000.0,3,0.0
937573,40-64,before 2015,male,majority,university,upper class,0.6291939843221722,7000.0,5,0.0
670850,16-25,before 2015,male,majority,university,working class,0.4055600158887265,17000.0,0,1.0
151252,16-25,before 2015,male,majority,university,middle class,0.6235462115803201,11000.0,0,0.0
706349,65+,before 2015,male,majority,university,upper class,0.7270329897821235,10000.0,1,0.0
602998,65+,before 2015,male,majority,none,working class,0.426828388879915,14000.0,3,0.0
242772,26-39,before 2015,female,majority,none,middle class,0.5036589704487734,10000.0,1,0.0
393449,26-39,before 2015,female,majority,high school,middle class,,12000.0,2,0.0
380740,65+,after 2015,male,majority,university,upper class,0.7264400018455291,7000.0,2,0.0
938115,16-25,before 2015,female,majority,none,poverty,0.2444900931240796,,0,1.0
727943,16-25,before 2015,male,majority,university,middle class,0.5757707974509628,11000.0,0,1.0
766309,16-25,before 2015,male,majority,high school,poverty,,10000.0,0,1.0
261229,16-25,after 2015,male,majority,university,working class,0.468671965728324,9000.0,0,1.0
60866,65+,after 2015,male,majority,university,upper class,0.6970834558464781,13000.0,3,0.0
752797,40-64,before 2015,female,majority,high school,working class,0.5429181079423034,15000.0,1,0.0
45002,65+,before 2015,male,majority,high school,upper class,0.6722562535141292,9000.0,4,0.0
482448,16-25,before 2015,male,majority,none,poverty,0.3864066185703315,8000.0,0,1.0
549142,16-25,before 2015,male,majority,university,middle class,0.5512978330713669,12000.0,0,1.0
95138,40-64,after 2015,male,majority,high school,middle class,0.5985570254244251,14000.0,4,0.0
851152,26-39,before 2015,female,majority,none,working class,,,0,0.0
615991,40-64,after 2015,female,majority,high school,upper class,0.5824219946087406,11000.0,2,0.0
424820,26-39,before 2015,female,minority,high school,middle class,0.540182723180248,,0,0.0
807847,65+,after 2015,male,majority,university,upper class,0.6330139475122963,14000.0,3,0.0
758983,40-64,after 2015,male,majority,high school,middle class,0.552204630296896,12000.0,6,0.0
987114,26-39,before 2015,female,majority,university,middle class,0.3266816101781183,16000.0,0,1.0
873457,40-64,before 2015,male,minority,high school,middle class,0.5880825424047316,13000.0,7,0.0
699703,65+,before 2015,female,majority,university,upper class,0.7022748020975709,10000.0,0,1.0
563342,65+,before 2015,female,majority,university,upper class,0.7266055391975765,13000.0,0,0.0
504412,26-39,before 2015,male,majority,university,working class,,12000.0,3,1.0
284106,65+,before 2015,male,majority,university,upper class,0.73238212135242,12000.0,5,0.0
78189,16-25,before 2015,female,majority,none,poverty,0.2012839211827758,12000.0,0,1.0
427520,26-39,before 2015,male,majority,university,middle class,0.4641607076311848,16000.0,0,0.0
689030,40-64,after 2015,female,majority,university,upper class,0.6579677428053038,13000.0,1,0.0
966467,65+,before 2015,male,majority,university,upper class,0.6002161554309658,13000.0,5,0.0
288712,65+,after 2015,male,majority,university,upper class,0.6663760181644964,12000.0,3,0.0
228114,26-39,before 2015,male,majority,high school,working class,0.4031472802313768,10000.0,0,0.0
63715,65+,before 2015,male,majority,university,upper class,0.4169350441301069,13000.0,5,0.0
624077,65+,before 2015,female,majority,none,upper class,0.5948797136778915,8000.0,10,0.0
726352,26-39,before 2015,male,minority,none,poverty,0.3804265034620669,16000.0,1,0.0
150072,16-25,before 2015,female,majority,none,poverty,,14000.0,0,1.0
792396,65+,before 2015,female,majority,university,upper class,0.680617632406099,12000.0,1,0.0
768933,40-64,before 2015,male,minority,high school,working class,0.3559504699938693,16000.0,0,1.0
452356,40-64,before 2015,female,majority,none,middle class,,10000.0,2,0.0
849811,65+,after 2015,female,minority,high school,upper class,0.587831426389767,,3,0.0
579336,65+,after 2015,female,majority,university,upper class,0.5733880426029547,10000.0,0,0.0
648922,16-25,before 2015,male,majority,university,middle class,0.2964062828237805,13000.0,0,1.0
47909,65+,before 2015,male,majority,university,upper class,0.4295096986208441,10000.0,1,0.0
619577,65+,after 2015,female,majority,university,upper class,0.6885687186194461,11000.0,2,0.0
212678,65+,after 2015,female,majority,university,upper class,0.700017431968704,13000.0,1,0.0
579720,26-39,before 2015,male,majority,university,working class,0.4495886310379405,,0,1.0
995884,40-64,after 2015,female,majority,university,upper class,0.6900455818778344,11000.0,2,0.0
226326,40-64,after 2015,female,minority,university,working class,0.4960298730510012,13000.0,0,0.0
943922,26-39,after 2015,male,majority,university,upper class,0.6563457625165399,6000.0,8,0.0
510116,40-64,after 2015,male,majority,high school,middle class,0.4983566259941653,12000.0,0,0.0
536546,16-25,before 2015,female,majority,university,middle class,0.5463825431033477,12000.0,0,0.0
75592,40-64,before 2015,female,majority,high school,working class,0.3158628767091658,11000.0,0,0.0
487116,26-39,before 2015,male,majority,none,working class,0.5300643171181573,,1,1.0
936820,26-39,before 2015,female,majority,high school,working class,0.3578391720711443,12000.0,1,1.0
634050,65+,after 2015,male,majority,university,upper class,0.672756052841708,9000.0,1,0.0
307397,40-64,after 2015,male,majority,university,upper class,0.7419993760301162,,2,0.0
558748,65+,after 2015,female,majority,university,upper class,0.6226519789949738,11000.0,1,0.0
856630,16-25,after 2015,female,majority,high school,middle class,0.4801406677163008,14000.0,0,1.0
200009,65+,after 2015,male,majority,university,upper class,0.6787954309829434,11000.0,5,0.0
784462,65+,before 2015,male,majority,university,upper class,,10000.0,13,0.0
792252,40-64,after 2015,female,majority,university,upper class,0.5152467080125883,12000.0,2,0.0
462586,26-39,before 2015,male,majority,none,working class,0.4899205986325767,13000.0,3,0.0
577965,65+,before 2015,male,majority,high school,middle class,0.4219579486132668,11000.0,4,0.0
818248,40-64,before 2015,male,majority,university,upper class,0.5843548496662949,,1,0.0
491438,16-25,before 2015,male,majority,none,poverty,,9000.0,0,1.0
896587,65+,after 2015,female,majority,high school,upper class,0.5581569698935803,14000.0,0,0.0
431538,16-25,before 2015,male,majority,high school,poverty,0.19414954837432,12000.0,0,1.0
164516,16-25,before 2015,male,majority,high school,poverty,0.300497330390378,13000.0,0,1.0
479577,40-64,after 2015,female,majority,university,upper class,0.6670906918498556,7000.0,4,0.0
395233,40-64,before 2015,male,majority,high school,upper class,0.6130724079074048,,0,1.0
221838,40-64,after 2015,male,majority,university,upper class,,11000.0,3,0.0
938476,26-39,before 2015,male,minority,high school,middle class,0.5952817629709132,8000.0,1,0.0
112454,26-39,before 2015,male,majority,none,poverty,0.3482357882933829,7000.0,0,1.0
91246,26-39,after 2015,male,majority,high school,working class,0.3566396714745861,8000.0,3,0.0
2743,26-39,before 2015,female,majority,none,working class,0.3486591269429803,12000.0,0,1.0
248888,40-64,before 2015,male,majority,high school,middle class,0.5594684860915574,12000.0,0,1.0
195523,16-25,before 2015,male,majority,high school,poverty,0.514483730987584,12000.0,0,1.0
981926,40-64,after 2015,female,majority,university,upper class,0.5626384060668865,13000.0,2,0.0
593426,40-64,before 2015,male,majority,university,middle class,0.5717246252857962,15000.0,2,0.0
235574,65+,after 2015,female,majority,university,upper class,0.6510078690171576,12000.0,5,0.0
440993,16-25,before 2015,male,majority,university,working class,0.3707348173567914,12000.0,0,1.0
446993,16-25,before 2015,male,majority,high school,poverty,0.3051450776813433,14000.0,0,0.0
82684,26-39,before 2015,male,majority,university,upper class,0.5744144216758436,,2,1.0
301242,26-39,before 2015,female,majority,university,middle class,0.4500145680826032,13000.0,1,0.0
784122,26-39,before 2015,male,majority,university,upper class,0.6364490959261638,,0,0.0
884967,65+,before 2015,male,majority,university,upper class,0.4576717029360895,,4,0.0
7722,26-39,before 2015,female,minority,high school,poverty,0.3357473732007096,15000.0,0,1.0
278557,26-39,before 2015,female,majority,none,poverty,0.3186947648911332,,1,0.0
123443,26-39,after 2015,male,majority,university,upper class,0.5578403271955679,10000.0,2,0.0
112143,16-25,before 2015,female,majority,none,working class,0.1924274124285441,11000.0,0,1.0
912138,26-39,before 2015,male,majority,university,working class,0.3528243251354439,11000.0,6,1.0
601305,65+,after 2015,female,majority,university,upper class,0.647569234863379,11000.0,0,1.0
602274,16-25,after 2015,female,majority,high school,middle class,0.4572362634438549,10000.0,0,0.0
352099,26-39,before 2015,male,majority,none,middle class,0.5042469291759577,13000.0,0,0.0
660400,16-25,before 2015,male,majority,high school,poverty,0.3749625006784157,15000.0,0,1.0
267614,16-25,before 2015,female,majority,university,upper class,0.6603156212983624,11000.0,0,0.0
974380,40-64,before 2015,female,majority,high school,upper class,0.4169178873741152,12000.0,3,0.0
346585,26-39,before 2015,female,majority,high school,upper class,0.6350840347750659,17000.0,0,0.0
536135,26-39,before 2015,male,majority,high school,middle class,0.4049288507406456,11000.0,2,0.0
75569,40-64,after 2015,female,majority,high school,upper class,0.4956283926329951,11000.0,2,0.0
415320,16-25,before 2015,male,majority,none,poverty,0.3921778349659278,,0,1.0
645135,40-64,after 2015,female,majority,high school,upper class,0.5149450496137513,11000.0,0,0.0
421596,65+,after 2015,male,majority,university,upper class,0.5032225392796313,9000.0,6,0.0
164636,26-39,before 2015,female,majority,university,upper class,0.7140339031205747,11000.0,0,1.0
405100,26-39,before 2015,male,majority,high school,working class,0.3670512395145257,14000.0,1,1.0
315223,40-64,before 2015,female,majority,high school,middle class,0.5793929043624154,13000.0,2,0.0
628723,40-64,before 2015,female,majority,high school,middle class,0.5584702236402418,10000.0,1,0.0
483693,16-25,before 2015,female,majority,high school,working class,0.2919776582051944,12000.0,0,1.0
416795,40-64,before 2015,female,majority,high school,middle class,0.6615841421190086,12000.0,5,0.0
712973,16-25,before 2015,female,majority,none,poverty,0.3788290288330991,17000.0,0,1.0
755061,16-25,before 2015,female,minority,high school,poverty,0.3740705590179875,15000.0,0,1.0
625426,40-64,before 2015,male,majority,university,upper class,,13000.0,3,0.0
162614,65+,before 2015,male,majority,university,upper class,0.4593785751523136,13000.0,1,0.0
732843,40-64,before 2015,male,majority,university,middle class,,15000.0,2,0.0
466761,40-64,after 2015,female,majority,university,upper class,0.4654506837575693,11000.0,0,0.0
498232,16-25,before 2015,male,minority,high school,middle class,0.4086866980912735,9000.0,0,1.0
170391,65+,before 2015,female,majority,high school,upper class,0.5888021385021842,11000.0,2,0.0
918640,40-64,before 2015,male,majority,high school,upper class,0.61502467895473,7000.0,3,0.0
937134,65+,before 2015,female,majority,high school,upper class,,8000.0,2,0.0
273764,40-64,after 2015,female,majority,university,upper class,0.5464601140543317,8000.0,1,0.0
418555,26-39,before 2015,female,minority,none,working class,,16000.0,1,0.0
344228,65+,after 2015,male,majority,university,upper class,0.737994819837278,17000.0,0,0.0
809278,40-64,before 2015,female,majority,none,working class,0.4273733642706479,10000.0,3,0.0
68145,16-25,before 2015,female,majority,high school,poverty,0.4129918414421705,,0,1.0
128369,40-64,before 2015,male,majority,university,upper class,0.6953231970861331,7000.0,3,0.0
194925,16-25,before 2015,female,majority,high school,poverty,0.2912344134674337,13000.0,0,1.0
303507,16-25,before 2015,female,majority,high school,poverty,0.2441332629984765,11000.0,0,1.0
244931,65+,after 2015,male,majority,university,upper class,0.5082740148521835,9000.0,0,0.0
570030,16-25,before 2015,female,majority,none,poverty,0.2932584812581273,14000.0,0,0.0
918038,26-39,before 2015,female,majority,none,poverty,0.3436417190829057,13000.0,0,1.0
102325,16-25,before 2015,female,majority,university,poverty,0.5033225200786,15000.0,0,1.0
653061,26-39,after 2015,female,majority,university,upper class,,,0,0.0
706892,40-64,after 2015,female,majority,university,upper class,0.6630513690689503,,2,0.0
761911,40-64,before 2015,male,majority,none,poverty,0.2027084379448271,11000.0,0,1.0
271656,26-39,before 2015,female,majority,high school,upper class,0.665343329329833,12000.0,1,0.0
820690,65+,after 2015,male,majority,university,upper class,0.5386236932875669,9000.0,8,0.0
622930,16-25,before 2015,female,majority,high school,working class,0.4101367047885667,15000.0,0,0.0
81394,16-25,before 2015,male,majority,none,poverty,0.3136455846123201,13000.0,0,0.0
373844,26-39,before 2015,male,majority,university,upper class,0.5073241356207076,12000.0,0,0.0
368392,16-25,before 2015,male,majority,none,poverty,0.2095073883823189,14000.0,0,1.0
447175,16-25,before 2015,female,majority,high school,working class,0.4907240542637642,15000.0,0,1.0
182095,40-64,before 2015,male,majority,university,middle class,0.5814986743175801,14000.0,5,0.0
451696,26-39,before 2015,female,majority,high school,upper class,0.6850359505244253,12000.0,0,1.0
953021,26-39,after 2015,male,majority,university,middle class,0.4739316494372351,,0,0.0
462465,16-25,before 2015,male,majority,high school,working class,,11000.0,0,1.0
617007,40-64,after 2015,male,majority,university,upper class,0.5128461364179456,10000.0,4,0.0
560773,40-64,after 2015,male,majority,university,upper class,0.6624617559275001,13000.0,1,0.0
438008,40-64,before 2015,female,majority,high school,upper class,0.5564133152355352,17000.0,1,0.0
212573,16-25,before 2015,female,minority,high school,poverty,0.2673466585061873,17000.0,0,0.0
492516,65+,before 2015,female,majority,university,upper class,0.8094112590513309,9000.0,5,0.0
538225,16-25,after 2015,female,majority,none,poverty,0.3679435479917757,11000.0,0,0.0
658402,65+,before 2015,female,majority,university,upper class,0.5033547111991341,11000.0,5,0.0
325516,65+,before 2015,female,majority,none,middle class,0.5342877060116482,13000.0,0,0.0
200283,16-25,before 2015,female,majority,university,middle class,,10000.0,0,0.0
913707,16-25,before 2015,female,majority,high school,middle class,,13000.0,0,1.0
905750,40-64,before 2015,male,majority,none,middle class,0.4490117755463273,7000.0,7,1.0
107029,40-64,before 2015,male,majority,university,upper class,0.8032523419405172,10000.0,2,0.0
304803,26-39,before 2015,female,majority,high school,middle class,,8000.0,0,0.0
124204,16-25,before 2015,female,majority,none,poverty,0.186185114720855,17000.0,0,1.0
781586,40-64,after 2015,female,majority,university,upper class,,13000.0,0,0.0
644662,26-39,before 2015,male,majority,high school,working class,0.3151293556030717,,2,0.0
903407,16-25,before 2015,male,majority,none,poverty,,12000.0,0,0.0
968669,65+,after 2015,female,majority,university,upper class,0.4836380123288594,9000.0,4,0.0
993267,26-39,before 2015,female,majority,high school,poverty,0.3858741008429725,14000.0,0,0.0
423938,65+,after 2015,male,majority,high school,upper class,0.6343725020457226,11000.0,11,0.0
125168,16-25,before 2015,male,majority,high school,working class,0.3621741186724681,16000.0,0,1.0
175635,26-39,before 2015,female,majority,high school,poverty,,5000.0,0,1.0
525386,65+,before 2015,female,majority,university,upper class,0.6928836357133882,10000.0,2,0.0
500215,65+,before 2015,female,majority,high school,upper class,0.5777028525076912,11000.0,2,0.0
572994,40-64,after 2015,male,majority,university,upper class,0.6640650143948857,11000.0,0,0.0
58735,40-64,after 2015,male,majority,high school,upper class,0.4897024062963834,,3,0.0
319953,26-39,before 2015,female,minority,none,poverty,0.2828694808711571,13000.0,0,1.0
487355,40-64,before 2015,male,majority,high school,working class,0.4317004117968687,10000.0,0,1.0
232470,16-25,before 2015,male,majority,university,poverty,0.1264534313986037,14000.0,0,1.0
565198,16-25,before 2015,male,majority,none,poverty,0.2859976102627207,12000.0,0,1.0
371727,26-39,after 2015,male,majority,university,upper class,0.5430074428650375,15000.0,1,0.0
165944,26-39,before 2015,male,majority,high school,middle class,0.3706567853008601,,6,0.0
532459,16-25,before 2015,female,majority,high school,poverty,,18000.0,0,0.0
613091,65+,after 2015,female,majority,high school,upper class,0.7917101109944502,11000.0,5,0.0
88882,26-39,before 2015,female,majority,high school,working class,0.4717963087189384,5000.0,0,0.0
187197,26-39,before 2015,male,majority,university,upper class,,12000.0,0,0.0
351757,26-39,before 2015,female,majority,none,working class,0.628633149594721,9000.0,0,1.0
735929,16-25,before 2015,male,majority,high school,poverty,0.3448180556225356,10000.0,0,1.0
224890,40-64,before 2015,male,majority,high school,upper class,0.5478225909631781,15000.0,5,0.0
864601,16-25,before 2015,male,majority,high school,poverty,0.3398648345906033,16000.0,0,1.0
485798,16-25,after 2015,female,majority,high school,poverty,0.2897871439465148,13000.0,0,0.0
733833,16-25,before 2015,male,majority,university,middle class,0.5979347864750699,13000.0,0,1.0
750465,26-39,before 2015,female,majority,none,working class,0.3692930793988261,14000.0,0,1.0
660556,65+,before 2015,male,majority,none,working class,0.4171250369936769,9000.0,6,0.0
28109,40-64,before 2015,male,majority,university,upper class,0.570277670616915,7000.0,5,0.0
219960,40-64,before 2015,female,majority,high school,middle class,0.5340483380212564,16000.0,1,1.0
252894,40-64,after 2015,male,majority,university,upper class,,11000.0,5,0.0
76297,40-64,after 2015,male,majority,university,upper class,0.5968280062363127,13000.0,0,0.0
763891,65+,after 2015,female,majority,university,upper class,0.6409488031039333,,2,0.0
403707,40-64,before 2015,female,minority,high school,middle class,0.5860627511953006,13000.0,2,0.0
792734,40-64,after 2015,female,majority,university,upper class,0.6168247780300146,9000.0,0,0.0
268227,65+,after 2015,male,minority,high school,middle class,0.3224660183950982,,2,0.0
519764,65+,before 2015,male,majority,none,middle class,0.344957864738121,15000.0,7,0.0
912172,16-25,after 2015,male,majority,university,upper class,0.7154034227572682,10000.0,0,0.0
560068,26-39,before 2015,male,majority,high school,working class,0.4082920061533436,10000.0,1,1.0
652414,16-25,before 2015,male,majority,none,poverty,0.2708440121659797,,0,1.0
126077,26-39,before 2015,female,majority,university,upper class,0.606735714725739,12000.0,1,0.0
220269,65+,before 2015,female,majority,university,upper class,0.5824680179178995,14000.0,1,0.0
136946,65+,before 2015,male,majority,high school,upper class,0.6062206447979116,,0,0.0
379940,26-39,before 2015,male,majority,university,upper class,,12000.0,0,1.0
856902,26-39,before 2015,female,majority,high school,middle class,0.755633866133054,16000.0,0,1.0
241888,16-25,before 2015,male,majority,university,poverty,0.2912086260521752,11000.0,0,1.0
908199,26-39,after 2015,female,majority,university,upper class,0.6161117243839742,13000.0,0,0.0
373218,40-64,before 2015,female,minority,high school,working class,0.4712361399215783,12000.0,0,0.0
656042,65+,after 2015,female,majority,university,upper class,0.6782370223364715,,2,0.0
313500,40-64,before 2015,male,majority,high school,middle class,0.5153486460517401,10000.0,1,0.0
